country,year,iso_code,population,gdp,biofuel_cons_per_capita,biofuel_consumption,biofuel_electricity,biofuel_share_energy,electricity_generation,energy_per_capita,oil_consumption,renewables_share_energy,continent,gdp_per_capita,biofuel_consumption_lag1,biofuel_share_energy_lag1,gdp_per_capita_lag1,biofuel_cagr_5y,top80_consumer
Argentina,2007,ARG,40016767.0,714725198062.0,0.0,0.0,1.07,0.0,113.52,21717.797,316.039,10.024,South America,17860.643216429755,0.0,0.0,16462.94871530451,,0
Argentina,2008,ARG,40424151.0,747157417513.0,0.0,0.0,1.21,0.0,121.91,21746.203,318.089,9.872,South America,18482.946432517532,0.0,0.0,17860.643216429755,,0
Argentina,2009,ARG,40854832.0,705920838368.0,0.0,0.0,1.19,0.0,122.32,20858.098,301.671,11.193,South America,17278.76003425984,0.0,0.0,18482.946432517532,,0
Argentina,2010,ARG,41288694.0,785785170150.0,143.463,5.923,1.38,0.676,126.0,21368.264,325.734,11.092,South America,19031.485232979274,0.0,0.0,17278.76003425984,,0
Argentina,2011,ARG,41730655.0,837742673804.0,207.838,8.673,1.39,0.962,129.49,21743.625,338.197,10.412,South America,20074.994600587986,5.923,0.676,19031.485232979274,,0
Argentina,2012,ARG,42161718.0,829147409948.0,246.6,10.397,1.45,1.107,136.02,22393.107,360.937,9.701,South America,19665.88292127944,8.673,0.962,20074.994600587986,,0
Argentina,2013,ARG,42582453.0,849088398588.0,279.514,11.902,1.53,1.186,139.45,23705.746,410.63,10.134,South America,19939.865807824644,10.397,1.107,19665.88292127944,,0
Argentina,2014,ARG,43024071.0,827750786191.0,322.871,13.891,1.48,1.407,138.54,23080.285,393.066,10.396,South America,19239.24833126554,11.902,1.186,19939.865807824644,,0
Argentina,2015,ARG,43477011.0,850356641236.0,348.023,15.131,1.49,1.507,145.42,23230.486,400.862,10.275,South America,19558.765004245575,13.891,1.407,19239.24833126554,0.18587347673645427,0
Argentina,2016,ARG,43900312.0,832669278245.0,365.309,16.037,1.18,1.603,147.18,22909.215,389.203,9.586,South America,18967.27472563293,15.131,1.507,19558.765004245575,0.11773707600256555,0
